time,cwnd,ssthresh
0.002000,2.000000,64
0.002000,3.000000,64
0.002000,4.000000,64
0.002000,5.000000,64
0.003000,6.000000,64
0.003000,7.000000,64
0.003000,8.000000,64
0.003000,9.000000,64
0.003000,10.000000,64
0.003000,11.000000,64
0.003000,12.000000,64
0.004000,13.000000,64
0.004000,14.000000,64
0.004000,15.000000,64
0.004000,16.000000,64
0.004000,17.000000,64
0.004000,18.000000,64
0.004000,19.000000,64
0.004000,20.000000,64
0.004000,21.000000,64
0.005000,22.000000,64
0.005000,23.000000,64
0.005000,24.000000,64
0.005000,25.000000,64
0.005000,26.000000,64
0.005000,27.000000,64
0.005000,28.000000,64
0.005000,29.000000,64
0.006000,29.000000,64
0.006000,29.000000,64
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.000000,14
0.006000,17.058823,14
0.006000,17.117443,14
0.006000,17.175863,14
0.007000,17.234085,14
0.007000,17.292110,14
0.007000,17.349939,14
0.007000,17.407576,14
0.007000,17.465021,14
0.007000,17.522278,14
0.007000,17.579348,14
0.007000,17.636232,14
0.007000,17.692934,14
0.007000,17.749454,14
0.007000,17.805794,14
0.007000,17.861956,14
0.007000,17.917940,14
0.007000,17.973751,14
0.007000,18.029388,14
0.008000,18.084854,14
0.008000,18.140148,14
0.008000,18.140148,14
0.008000,18.140148,14
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.000000,9
0.008000,12.083333,9
0.008000,12.166092,9
0.008000,12.248287,9
0.008000,12.248287,9
0.008000,12.248287,9
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.000000,6
0.009000,9.111111,6
0.009000,9.220867,6
0.009000,9.329317,6
0.009000,9.436506,6
0.009000,9.436506,6
0.009000,9.436506,6
0.009000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.000000,4
0.010000,7.142857,4
0.010000,7.282857,4
0.010000,7.420166,4
0.010000,7.554934,4
0.010000,7.687297,4
0.010000,7.817382,4
0.010000,7.945302,4
0.010000,8.071162,4
0.010000,8.195060,4
0.011000,8.195060,4
0.011000,8.195060,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.000000,4
0.011000,7.142857,4
0.011000,7.282857,4
0.011000,7.420166,4
0.011000,7.554934,4
0.011000,7.687297,4
0.011000,7.817382,4
0.011000,7.945302,4
0.011000,8.071162,4
0.011000,8.195060,4
0.011000,8.317084,4
0.012000,8.437319,4
0.012000,8.555840,4
0.012000,8.672719,4
0.012000,8.788023,4
0.012000,8.901814,4
0.012000,9.014152,4
0.012000,9.125089,4
0.012000,9.234676,4
0.012000,9.342964,4
0.012000,9.449997,4
0.012000,9.555817,4
0.012000,9.660465,4
0.012000,9.763980,4
0.012000,9.866397,4
0.012000,9.967752,4
0.012000,10.068075,4
0.013000,10.167399,4
0.013000,10.265753,4
0.013000,10.363164,4
0.013000,10.459660,4
0.013000,10.555265,4
0.013000,10.650005,4
0.013000,10.650005,4
0.013000,10.650005,4
0.013000,8.000000,5
0.013000,8.000000,5
0.013000,8.000000,5
0.013000,8.000000,5
0.013000,8.000000,5
0.014000,8.000000,5
0.014000,8.000000,5
0.014000,8.125000,5
0.014000,8.248077,5
0.014000,8.369318,5
0.014000,8.488802,5
0.014000,8.606605,5
0.014000,8.722795,5
0.014000,8.837437,5
0.014000,8.950592,5
0.014000,9.062317,5
0.014000,9.172664,5
0.014000,9.281683,5
0.014000,9.389422,5
0.014000,9.495925,5
0.015000,9.601233,5
0.015000,9.705387,5
0.015000,9.808423,5
0.015000,9.910377,5
0.015000,10.011281,5
0.015000,10.111168,5
0.015000,10.210069,5
0.015000,10.308011,5
0.015000,10.405023,5
0.015000,10.501130,5
0.015000,10.596358,5
0.015000,10.690730,5
0.015000,10.784269,5
0.015000,10.876997,5
0.015000,10.968934,5
0.015000,11.060101,5
0.015000,11.150516,5
0.016000,11.240197,5
0.016000,11.329164,5
0.016000,11.417431,5
0.016000,11.505016,5
0.016000,11.591935,5
0.016000,11.678202,5
0.016000,11.763831,5
0.016000,11.848838,5
0.016000,11.933234,5
0.016000,12.017034,5
0.016000,12.100248,5
0.016000,12.182891,5
0.016000,12.264974,5
0.016000,12.346507,5
0.016000,12.427502,5
0.017000,12.507968,5
0.017000,12.587917,5
0.017000,12.667358,5
0.017000,12.746302,5
0.017000,12.824756,5
0.017000,12.902730,5
0.017000,12.980233,5
0.017000,13.057274,5
0.017000,13.057274,5
0.017000,13.057274,5
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.017000,9.000000,6
0.018000,9.111111,6
0.018000,9.220867,6
0.018000,9.329317,6
0.018000,9.329317,6
0.018000,9.329317,6
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
0.018000,7.000000,4
1.029000,1.000000,3
1.030000,2.000000,3
1.030000,3.000000,3
1.030000,3.333333,3
1.030000,3.633333,3
1.030000,3.908563,3
1.030000,4.164411,3
1.030000,4.404541,3
1.030000,4.631579,3
1.030000,4.847488,3
1.030000,5.053781,3
1.030000,5.251653,3
1.030000,5.442069,3
1.030000,5.625823,3
1.031000,5.803575,3
1.031000,5.975882,3
1.031000,6.143221,3
1.031000,6.306003,3
1.031000,6.464581,3
1.031000,6.619270,3
1.031000,6.770344,3
1.031000,6.918047,3
1.031000,7.062597,3
1.031000,7.204188,3
1.032000,7.342996,3
1.032000,7.479180,3
1.032000,7.612885,3
1.032000,7.744241,3
1.032000,7.873369,3
1.032000,8.000380,3
1.032000,8.125374,3
1.032000,8.248446,3
1.032000,8.369680,3
1.032000,8.489160,3
1.032000,8.606956,3
1.032000,8.723142,3
1.032000,8.837779,3
1.032000,8.950930,3
1.032000,9.062650,3
1.032000,9.172993,3
1.033000,9.282008,3
1.033000,9.389744,3
1.033000,9.496243,3
1.033000,9.601547,3
1.033000,9.705697,3
1.033000,9.808729,3
1.033000,9.910679,3
1.033000,10.011580,3
1.033000,10.111465,3
1.033000,10.210362,3
1.033000,10.308302,3
1.033000,10.405312,3
1.033000,10.501416,3
1.034000,10.596642,3
1.034000,10.691011,3
1.034000,10.784548,3
1.034000,10.877273,3
1.034000,10.969208,3
1.034000,11.060372,3
1.034000,11.150785,3
1.034000,11.240465,3
1.034000,11.329430,3
1.034000,11.417695,3
1.034000,11.505279,3
1.034000,11.592196,3
1.034000,11.678460,3
1.034000,11.764088,3
1.034000,11.849092,3
1.034000,11.933487,3
1.034000,12.017284,3
1.035000,12.100498,3
1.035000,12.183140,3
1.035000,12.265221,3
1.035000,12.346752,3
1.035000,12.427745,3
1.035000,12.508210,3
1.035000,12.588158,3
1.035000,12.667598,3
1.035000,12.746539,3
1.035000,12.824992,3
1.035000,12.902965,3
1.035000,12.980466,3
1.035000,13.057505,3
1.035000,13.134089,3
1.035000,13.210226,3
1.035000,13.285925,3
1.036000,13.361193,3
1.036000,13.436036,3
1.036000,13.510463,3
1.036000,13.584479,3
1.036000,13.658092,3
1.036000,13.731309,3
1.036000,13.804135,3
1.036000,13.876577,3
1.036000,13.948641,3
1.036000,14.020332,3
1.036000,14.091658,3
1.036000,14.162621,3
1.036000,14.233230,3
1.036000,14.233230,3
1.036000,14.233230,3
1.037000,10.000000,7
1.037000,10.000000,7
1.037000,10.000000,7
1.037000,10.000000,7
1.037000,10.000000,7
1.037000,10.000000,7
1.037000,10.000000,7
1.037000,10.100000,7
1.037000,10.199010,7
1.037000,10.297059,7
1.037000,10.394175,7
1.037000,10.490382,7
1.037000,10.585708,7
1.037000,10.680175,7
1.037000,10.773807,7
1.038000,10.773807,7
1.038000,10.773807,7
1.038000,8.000000,5
1.038000,8.000000,5
1.038000,8.000000,5
1.038000,8.000000,5
1.038000,8.000000,5
1.038000,8.000000,5
1.038000,8.000000,5
1.038000,8.125000,5
1.038000,8.248077,5
1.038000,8.369318,5
1.038000,8.488802,5
1.038000,8.606605,5
1.038000,8.722795,5
1.038000,8.837437,5
1.038000,8.950592,5
1.039000,8.950592,5
1.039000,8.950592,5
1.039000,7.000000,4
1.039000,7.000000,4
1.039000,7.000000,4
1.039000,7.000000,4
1.039000,7.000000,4
1.039000,7.142857,4
1.039000,7.282857,4
1.039000,7.420166,4
1.039000,7.554934,4
1.039000,7.687297,4
1.039000,7.817382,4
1.039000,7.945302,4
1.039000,8.071162,4
1.040000,8.195060,4
1.040000,8.317084,4
1.040000,8.437319,4
1.040000,8.555840,4
1.040000,8.555840,4
1.040000,8.555840,4
1.040000,7.000000,4
1.040000,7.000000,4
1.040000,7.000000,4
1.040000,7.142857,4
1.040000,7.282857,4
1.040000,7.282857,4
1.040000,7.282857,4
1.040000,6.000000,3
1.040000,6.000000,3
1.040000,6.000000,3
1.040000,6.000000,3
1.040000,6.166667,3
1.041000,6.328829,3
1.041000,6.486836,3
1.041000,6.640995,3
1.041000,6.791574,3
1.041000,6.938816,3
1.041000,7.082932,3
1.041000,7.224117,3
1.041000,7.362542,3
1.041000,7.498365,3
1.041000,7.631727,3
1.041000,7.762759,3
1.041000,7.891579,3
1.041000,8.018296,3
1.041000,8.143011,3
1.042000,8.265816,3
1.042000,8.386796,3
1.042000,8.506031,3
1.042000,8.623594,3
1.042000,8.739555,3
1.042000,8.853977,3
1.042000,8.853977,3
1.042000,8.853977,3
1.042000,7.000000,4
1.042000,7.000000,4
1.043000,7.000000,4
1.043000,7.000000,4
1.043000,7.000000,4
1.043000,7.142857,4
1.043000,7.142857,4
1.043000,7.142857,4
1.043000,6.000000,3
1.043000,6.000000,3
1.043000,6.000000,3
1.043000,6.000000,3
1.043000,6.166667,3
1.043000,6.328829,3
1.043000,6.486836,3
1.043000,6.640995,3
1.044000,6.791574,3
1.044000,6.938816,3
1.044000,7.082932,3
1.044000,7.224117,3
1.044000,7.362542,3
1.044000,7.498365,3
1.044000,7.631727,3
1.044000,7.762759,3
1.044000,7.891579,3
1.044000,8.018296,3
1.044000,8.143011,3
1.044000,8.265816,3
1.044000,8.386796,3
1.044000,8.506031,3
1.044000,8.623594,3
1.044000,8.739555,3
1.045000,8.853977,3
1.045000,8.966921,3
1.045000,9.078442,3
1.045000,9.188593,3
1.045000,9.297423,3
1.045000,9.404980,3
1.045000,9.511307,3
1.045000,9.616445,3
1.045000,9.720433,3
1.045000,9.823309,3
1.045000,9.925108,3
1.045000,10.025863,3
1.045000,10.125605,3
1.045000,10.224364,3
1.045000,10.322170,3
1.045000,10.419049,3
1.045000,10.515027,3
1.045000,10.610129,3
1.046000,10.704379,3
1.046000,10.797799,3
1.046000,10.890410,3
1.046000,10.982234,3
1.046000,10.982234,3
1.046000,10.982234,3
1.046000,8.000000,5
1.046000,8.000000,5
1.046000,8.000000,5
1.046000,8.000000,5
1.046000,8.000000,5
1.047000,8.000000,5
1.047000,8.000000,5
1.047000,8.125000,5
1.047000,8.248077,5
1.047000,8.369318,5
1.047000,8.488802,5
1.047000,8.606605,5
1.047000,8.722795,5
1.047000,8.837437,5
1.047000,8.950592,5
1.047000,9.062317,5
1.047000,9.172664,5
1.047000,9.281683,5
1.047000,9.389422,5
1.048000,9.495925,5
1.048000,9.495925,5
1.048000,9.495925,5
1.048000,7.000000,4
1.048000,7.000000,4
1.048000,7.000000,4
1.048000,7.000000,4
1.048000,7.000000,4
1.048000,7.000000,4
1.049000,7.142857,4
1.049000,7.282857,4
1.049000,7.420166,4
1.049000,7.554934,4
1.049000,7.687297,4
1.049000,7.817382,4
1.049000,7.945302,4
1.049000,8.071162,4
1.049000,8.195060,4
1.049000,8.317084,4
1.049000,8.437319,4
1.049000,8.555840,4
1.049000,8.672719,4
1.049000,8.788023,4
1.050000,8.901814,4
1.050000,9.014152,4
1.050000,9.125089,4
1.050000,9.234676,4
1.050000,9.342964,4
1.050000,9.449997,4
1.050000,9.555817,4
1.050000,9.555817,4
1.050000,9.555817,4
1.050000,7.000000,4
1.050000,7.000000,4
1.050000,7.000000,4
1.051000,7.000000,4
1.051000,7.000000,4
1.051000,7.142857,4
1.051000,7.282857,4
1.051000,7.420166,4
1.051000,7.554934,4
1.051000,7.687297,4
1.051000,7.817382,4
1.051000,7.817382,4
1.051000,7.817382,4
1.051000,6.000000,3
1.051000,6.000000,3
1.051000,6.000000,3
1.051000,6.166667,3
1.052000,6.328829,3
1.052000,6.486836,3
1.052000,6.640995,3
1.052000,6.791574,3
1.052000,6.938816,3
1.052000,7.082932,3
1.052000,7.224117,3
1.052000,7.362542,3
1.052000,7.498365,3
1.052000,7.631727,3
1.052000,7.762759,3
1.052000,7.891579,3
1.052000,8.018296,3
1.052000,8.143011,3
1.052000,8.265816,3
1.052000,8.386796,3
1.052000,8.506031,3
1.052000,8.623594,3
1.053000,8.739555,3
1.053000,8.853977,3
1.053000,8.966921,3
1.053000,9.078442,3
1.053000,9.188593,3
1.053000,9.297423,3
1.053000,9.404980,3
1.053000,9.511307,3
1.053000,9.616445,3
1.053000,9.720433,3
1.053000,9.823309,3
1.053000,9.925108,3
1.053000,10.025863,3
1.053000,10.125605,3
1.054000,10.125605,3
1.054000,10.125605,3
1.054000,8.000000,5
1.054000,8.000000,5
1.054000,8.000000,5
1.054000,8.000000,5
1.054000,8.000000,5
1.054000,8.000000,5
1.054000,8.000000,5
1.054000,8.125000,5
1.054000,8.248077,5
1.054000,8.369318,5
1.054000,8.488802,5
1.054000,8.606605,5
1.054000,8.722795,5
1.054000,8.837437,5
1.055000,8.950592,5
1.055000,9.062317,5
1.055000,9.062317,5
1.055000,9.062317,5
1.055000,7.000000,4
1.055000,7.000000,4
1.055000,7.000000,4
1.055000,7.000000,4
1.055000,7.000000,4
1.055000,7.142857,4
1.055000,7.282857,4
1.055000,7.420166,4
1.055000,7.554934,4
1.056000,7.687297,4
1.056000,7.817382,4
1.056000,7.945302,4
1.056000,8.071162,4
1.056000,8.195060,4
1.056000,8.317084,4
1.056000,8.437319,4
1.056000,8.555840,4
1.056000,8.672719,4
1.056000,8.788023,4
1.056000,8.901814,4
1.056000,9.014152,4
1.056000,9.125089,4
1.056000,9.234676,4
1.057000,9.342964,4
1.057000,9.342964,4
1.057000,9.342964,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.000000,4
1.057000,7.142857,4
1.057000,7.282857,4
1.057000,7.420166,4
1.057000,7.554934,4
1.058000,7.687297,4
1.058000,7.817382,4
1.058000,7.945302,4
1.058000,8.071162,4
1.058000,8.195060,4
1.058000,8.317084,4
1.058000,8.437319,4
1.058000,8.437319,4
1.058000,8.437319,4
1.058000,7.000000,4
1.058000,7.000000,4
1.058000,7.000000,4
1.058000,7.000000,4
1.058000,7.142857,4
1.059000,7.282857,4
1.059000,7.420166,4
1.059000,7.554934,4
1.059000,7.687297,4
1.059000,7.817382,4
1.059000,7.945302,4
1.059000,8.071162,4
1.059000,8.195060,4
1.059000,8.317084,4
1.059000,8.437319,4
1.059000,8.555840,4
1.059000,8.672719,4
1.059000,8.788023,4
1.059000,8.901814,4
1.059000,9.014152,4
1.060000,9.125089,4
1.060000,9.234676,4
1.060000,9.342964,4
1.060000,9.449997,4
1.060000,9.555817,4
1.060000,9.660465,4
1.060000,9.660465,4
1.060000,9.660465,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.060000,7.000000,4
1.061000,7.142857,4
1.061000,7.282857,4
1.061000,7.420166,4
1.061000,7.554934,4
1.061000,7.687297,4
1.061000,7.817382,4
1.061000,7.945302,4
1.062000,8.071162,4
1.062000,8.195060,4
1.062000,8.195060,4
1.062000,8.195060,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.000000,4
1.062000,7.000000,4
