time,cwnd,ssthresh
1.062000,7.142857,4
1.062000,7.282857,4
1.062000,7.420166,4
1.062000,7.554934,4
1.063000,7.687297,4
1.063000,7.817382,4
1.063000,7.945302,4
1.063000,8.071162,4
1.063000,8.195060,4
1.063000,8.317084,4
1.063000,8.437319,4
1.063000,8.555840,4
1.063000,8.672719,4
1.063000,8.788023,4
1.063000,8.901814,4
1.063000,9.014152,4
1.063000,9.125089,4
1.063000,9.234676,4
1.063000,9.342964,4
1.064000,9.449997,4
1.064000,9.555817,4
1.064000,9.660465,4
1.064000,9.763980,4
1.064000,9.866397,4
1.064000,9.967752,4
1.064000,9.967752,4
1.064000,9.967752,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.000000,4
1.064000,7.142857,4
1.064000,7.282857,4
1.065000,7.420166,4
1.065000,7.554934,4
1.065000,7.687297,4
1.065000,7.817382,4
1.065000,7.945302,4
1.065000,8.071162,4
1.065000,8.195060,4
1.065000,8.317084,4
1.065000,8.437319,4
1.065000,8.555840,4
1.065000,8.672719,4
1.065000,8.788023,4
1.065000,8.901814,4
1.066000,9.014152,4
1.066000,9.125089,4
1.066000,9.234676,4
1.066000,9.342964,4
1.066000,9.449997,4
1.066000,9.555817,4
1.066000,9.660465,4
1.066000,9.763980,4
1.066000,9.866397,4
1.066000,9.967752,4
1.066000,10.068075,4
1.066000,10.167399,4
1.066000,10.265753,4
1.067000,10.363164,4
1.067000,10.459660,4
1.067000,10.555265,4
1.067000,10.650005,4
1.067000,10.743902,4
1.067000,10.836978,4
1.067000,10.929255,4
1.067000,11.020752,4
1.067000,11.111490,4
1.067000,11.201488,4
1.067000,11.290761,4
1.067000,11.379329,4
1.067000,11.467207,4
1.067000,11.554412,4
1.067000,11.640959,4
1.067000,11.726862,4
1.067000,11.726862,4
1.067000,11.726862,4
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.000000,5
1.068000,8.125000,5
1.068000,8.248077,5
1.068000,8.369318,5
1.068000,8.488802,5
1.068000,8.606605,5
1.068000,8.722795,5
1.068000,8.837437,5
1.068000,8.950592,5
1.068000,9.062317,5
1.068000,9.172664,5
1.068000,9.281683,5
1.068000,9.389422,5
1.068000,9.495925,5
1.069000,9.601233,5
1.069000,9.705387,5
1.069000,9.808423,5
1.069000,9.910377,5
1.069000,10.011281,5
1.069000,10.011281,5
1.069000,10.011281,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.000000,5
1.069000,8.125000,5
1.069000,8.248077,5
1.070000,8.369318,5
1.070000,8.488802,5
1.070000,8.606605,5
1.070000,8.722795,5
1.070000,8.837437,5
1.070000,8.950592,5
1.070000,9.062317,5
1.070000,9.172664,5
1.070000,9.281683,5
1.070000,9.389422,5
1.070000,9.495925,5
1.070000,9.601233,5
1.070000,9.705387,5
1.070000,9.808423,5
1.070000,9.910377,5
1.070000,10.011281,5
1.071000,10.111168,5
1.071000,10.210069,5
1.071000,10.308011,5
1.071000,10.405023,5
1.071000,10.501130,5
1.071000,10.596358,5
1.071000,10.690730,5
1.071000,10.784269,5
1.071000,10.876997,5
1.071000,10.968934,5
1.071000,11.060101,5
1.071000,11.150516,5
1.071000,11.240197,5
1.071000,11.329164,5
1.071000,11.417431,5
1.072000,11.505016,5
1.072000,11.591935,5
1.072000,11.678202,5
1.072000,11.763831,5
1.072000,11.848838,5
1.072000,11.933234,5
1.072000,12.017034,5
1.072000,12.100248,5
1.072000,12.182891,5
1.072000,12.264974,5
1.072000,12.346507,5
1.072000,12.427502,5
1.072000,12.507968,5
1.072000,12.587917,5
1.073000,12.667358,5
1.073000,12.746302,5
1.073000,12.824756,5
1.073000,12.902730,5
1.073000,12.980233,5
1.073000,13.057274,5
1.073000,13.133860,5
1.073000,13.133860,5
1.073000,13.133860,5
1.073000,9.000000,6
1.073000,9.000000,6
1.073000,9.000000,6
1.073000,9.000000,6
1.073000,9.000000,6
1.073000,9.000000,6
1.074000,9.000000,6
1.074000,9.111111,6
1.074000,9.220867,6
1.074000,9.329317,6
1.074000,9.436506,6
1.074000,9.542478,6
1.074000,9.647272,6
1.074000,9.750928,6
1.074000,9.853482,6
1.074000,9.954969,6
1.074000,10.055422,6
1.074000,10.154871,6
1.074000,10.253345,6
1.074000,10.350875,6
1.074000,10.447485,6
1.074000,10.543201,6
1.075000,10.638049,6
1.075000,10.732051,6
1.075000,10.825230,6
1.075000,10.917606,6
1.075000,11.009201,6
1.075000,11.100034,6
1.075000,11.190124,6
1.075000,11.190124,6
1.075000,11.190124,6
1.075000,8.000000,5
1.075000,8.000000,5
1.075000,8.000000,5
1.075000,8.000000,5
1.075000,8.000000,5
1.075000,8.000000,5
1.075000,8.000000,5
1.076000,8.125000,5
1.076000,8.248077,5
1.076000,8.369318,5
1.076000,8.488802,5
1.076000,8.488802,5
1.076000,8.488802,5
1.076000,7.000000,4
1.076000,7.000000,4
1.076000,7.000000,4
1.076000,7.000000,4
1.076000,7.000000,4
1.076000,7.142857,4
1.076000,7.282857,4
1.077000,7.420166,4
1.077000,7.554934,4
1.077000,7.687297,4
1.077000,7.817382,4
1.077000,7.945302,4
1.077000,8.071162,4
1.077000,8.195060,4
1.077000,8.317084,4
1.077000,8.437319,4
1.077000,8.555840,4
1.077000,8.672719,4
1.077000,8.788023,4
1.077000,8.901814,4
1.077000,9.014152,4
1.078000,9.125089,4
1.078000,9.234676,4
1.078000,9.234676,4
1.078000,9.234676,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
1.078000,7.000000,4
2.089000,1.000000,3
2.089000,2.000000,3
2.090000,3.000000,3
2.090000,3.333333,3
2.090000,3.633333,3
2.090000,3.908563,3
2.091000,4.164411,3
2.091000,4.404541,3
2.091000,4.631579,3
2.091000,4.847488,3
2.091000,5.053781,3
2.091000,5.251653,3
2.091000,5.442069,3
2.092000,5.625823,3
2.092000,5.803575,3
2.092000,5.975882,3
2.092000,6.143221,3
2.092000,6.306003,3
2.092000,6.464581,3
2.093000,6.619270,3
2.093000,6.770344,3
2.093000,6.918047,3
2.093000,7.062597,3
2.093000,7.204188,3
2.093000,7.342996,3
2.094000,7.479180,3
2.094000,7.612885,3
2.094000,7.744241,3
2.094000,7.873369,3
2.094000,8.000380,3
2.094000,8.125374,3
2.094000,8.248446,3
2.094000,8.369680,3
2.094000,8.369680,3
2.095000,8.369680,3
2.095000,7.000000,4
2.095000,7.000000,4
2.095000,7.000000,4
2.095000,7.000000,4
2.095000,7.000000,4
2.095000,7.142857,4
2.095000,7.282857,4
2.095000,7.420166,4
2.095000,7.554934,4
2.095000,7.687297,4
2.095000,7.817382,4
2.095000,7.817382,4
2.095000,7.817382,4
2.095000,6.000000,3
2.096000,6.000000,3
2.096000,6.000000,3
2.096000,6.000000,3
2.096000,6.166667,3
2.096000,6.328829,3
2.096000,6.486836,3
2.096000,6.640995,3
2.096000,6.791574,3
2.096000,6.938816,3
2.096000,7.082932,3
2.096000,7.224117,3
2.096000,7.362542,3
2.096000,7.498365,3
2.096000,7.631727,3
2.096000,7.762759,3
2.096000,7.891579,3
2.096000,8.018296,3
2.096000,8.143011,3
2.096000,8.265816,3
2.096000,8.386796,3
2.097000,8.506031,3
2.097000,8.623594,3
2.097000,8.739555,3
2.097000,8.853977,3
2.097000,8.966921,3
2.097000,9.078442,3
2.097000,9.188593,3
2.097000,9.297423,3
2.097000,9.404980,3
2.097000,9.511307,3
2.097000,9.616445,3
2.097000,9.720433,3
2.097000,9.823309,3
2.097000,9.925108,3
2.097000,10.025863,3
2.097000,10.125605,3
2.097000,10.224364,3
2.098000,10.322170,3
2.098000,10.322170,3
2.098000,10.322170,3
2.098000,8.000000,5
2.098000,8.000000,5
2.098000,8.000000,5
2.098000,8.000000,5
2.098000,8.000000,5
2.098000,8.000000,5
2.098000,8.000000,5
2.098000,8.125000,5
2.098000,8.248077,5
2.098000,8.369318,5
2.098000,8.488802,5
2.098000,8.606605,5
2.098000,8.722795,5
2.098000,8.837437,5
2.098000,8.950592,5
2.099000,9.062317,5
2.099000,9.172664,5
2.099000,9.172664,5
2.099000,9.172664,5
2.099000,7.000000,4
2.099000,7.000000,4
2.099000,7.000000,4
2.099000,7.000000,4
2.099000,7.000000,4
2.099000,7.142857,4
2.099000,7.282857,4
2.099000,7.420166,4
2.099000,7.554934,4
2.099000,7.687297,4
2.099000,7.817382,4
2.099000,7.945302,4
2.099000,8.071162,4
2.100000,8.195060,4
2.100000,8.317084,4
2.100000,8.437319,4
2.100000,8.555840,4
2.100000,8.672719,4
2.100000,8.788023,4
2.100000,8.901814,4
2.100000,9.014152,4
2.100000,9.125089,4
2.100000,9.234676,4
2.100000,9.342964,4
2.100000,9.449997,4
2.100000,9.555817,4
2.100000,9.660465,4
2.100000,9.763980,4
2.100000,9.866397,4
2.100000,9.967752,4
2.101000,10.068075,4
2.101000,10.167399,4
2.101000,10.265753,4
2.101000,10.363164,4
2.101000,10.459660,4
2.101000,10.555265,4
2.101000,10.650005,4
2.101000,10.743902,4
2.101000,10.836978,4
2.101000,10.929255,4
2.101000,11.020752,4
2.102000,11.111490,4
2.102000,11.201488,4
2.102000,11.290761,4
2.102000,11.379329,4
2.103000,11.467207,4
2.104000,11.554412,4
2.104000,11.640959,4
2.104000,11.726862,4
2.104000,11.812137,4
2.104000,11.896795,4
2.104000,11.980851,4
2.104000,12.064318,4
2.104000,12.147206,4
2.105000,12.229529,4
2.105000,12.311298,4
2.105000,12.392525,4
2.105000,12.473219,4
2.105000,12.553391,4
2.105000,12.633050,4
2.105000,12.712208,4
2.105000,12.790873,4
2.105000,12.869053,4
2.105000,12.946758,4
2.105000,13.023997,4
2.106000,13.100779,4
2.106000,13.177110,4
2.106000,13.252999,4
2.106000,13.328454,4
2.106000,13.403481,4
2.106000,13.478089,4
2.106000,13.552284,4
2.106000,13.626073,4
2.106000,13.699462,4
2.106000,13.772457,4
2.106000,13.845066,4
2.106000,13.917294,4
2.107000,13.989146,4
2.107000,14.060630,4
2.107000,14.131750,4
2.107000,14.202513,4
2.107000,14.272923,4
2.107000,14.342985,4
2.107000,14.412705,4
2.107000,14.482089,4
2.107000,14.551140,4
2.107000,14.619863,4
2.107000,14.619863,4
2.107000,14.619863,4
2.108000,10.000000,7
2.108000,10.000000,7
2.108000,10.000000,7
2.108000,10.000000,7
2.108000,10.000000,7
2.108000,10.000000,7
2.108000,10.100000,7
2.108000,10.199010,7
2.108000,10.297059,7
2.108000,10.394175,7
2.108000,10.490382,7
2.109000,10.490382,7
2.109000,10.490382,7
2.109000,8.000000,5
2.109000,8.000000,5
2.109000,8.000000,5
2.109000,8.000000,5
2.109000,8.000000,5
2.109000,8.000000,5
2.109000,8.000000,5
2.109000,8.125000,5
2.109000,8.248077,5
2.110000,8.248077,5
2.110000,8.248077,5
2.110000,7.000000,4
2.110000,7.000000,4
2.110000,7.000000,4
2.110000,7.000000,4
2.110000,7.142857,4
2.110000,7.282857,4
2.110000,7.420166,4
2.110000,7.554934,4
2.110000,7.687297,4
2.111000,7.817382,4
2.111000,7.945302,4
2.111000,8.071162,4
2.111000,8.195060,4
2.111000,8.317084,4
2.111000,8.437319,4
2.111000,8.555840,4
2.111000,8.672719,4
2.111000,8.672719,4
2.111000,8.672719,4
2.111000,7.000000,4
2.111000,7.000000,4
2.111000,7.000000,4
2.111000,7.000000,4
2.112000,7.142857,4
2.112000,7.142857,4
2.112000,7.142857,4
2.112000,6.000000,3
2.112000,6.000000,3
2.112000,6.000000,3
2.112000,6.166667,3
2.112000,6.166667,3
2.112000,6.166667,3
2.112000,6.000000,3
2.112000,6.000000,3
2.112000,6.000000,3
2.113000,6.166667,3
2.113000,6.328829,3
2.113000,6.486836,3
2.113000,6.640995,3
2.113000,6.791574,3
2.113000,6.938816,3
2.113000,7.082932,3
2.113000,7.224117,3
2.114000,7.362542,3
2.114000,7.498365,3
2.114000,7.631727,3
2.114000,7.762759,3
2.114000,7.891579,3
2.114000,8.018296,3
2.114000,8.143011,3
2.114000,8.265816,3
2.114000,8.386796,3
2.114000,8.506031,3
2.115000,8.623594,3
2.115000,8.739555,3
2.115000,8.739555,3
2.115000,8.739555,3
2.115000,7.000000,4
2.115000,7.000000,4
2.115000,7.000000,4
2.115000,7.000000,4
2.115000,7.000000,4
2.115000,7.142857,4
2.116000,7.282857,4
2.116000,7.420166,4
2.116000,7.554934,4
2.116000,7.687297,4
2.116000,7.817382,4
2.116000,7.945302,4
2.116000,8.071162,4
2.116000,8.195060,4
2.116000,8.317084,4
2.116000,8.437319,4
2.116000,8.555840,4
2.117000,8.672719,4
2.117000,8.788023,4
2.117000,8.901814,4
2.117000,9.014152,4
2.117000,9.125089,4
2.117000,9.234676,4
2.117000,9.342964,4
2.117000,9.449997,4
2.117000,9.555817,4
2.117000,9.660465,4
2.117000,9.763980,4
2.117000,9.866397,4
2.117000,9.967752,4
2.118000,10.068075,4
2.118000,10.167399,4
2.118000,10.265753,4
2.118000,10.363164,4
2.118000,10.459660,4
2.118000,10.555265,4
2.118000,10.650005,4
2.118000,10.743902,4
2.118000,10.836978,4
2.118000,10.929255,4
2.118000,11.020752,4
2.118000,11.111490,4
2.118000,11.201488,4
2.118000,11.290761,4
2.118000,11.379329,4
2.119000,11.467207,4
2.119000,11.554412,4
2.119000,11.640959,4
2.119000,11.726862,4
2.119000,11.812137,4
2.119000,11.896795,4
2.119000,11.980851,4
2.119000,12.064318,4
2.119000,12.147206,4
2.119000,12.229529,4
2.120000,12.311298,4
2.120000,12.311298,4
2.120000,12.311298,4
2.120000,9.000000,6
2.120000,9.000000,6
2.120000,9.000000,6
2.120000,9.000000,6
2.120000,9.000000,6
2.121000,9.000000,6
2.121000,9.000000,6
2.121000,9.111111,6
2.121000,9.220867,6
2.121000,9.329317,6
2.121000,9.436506,6
2.121000,9.542478,6
2.121000,9.647272,6
2.121000,9.750928,6
2.121000,9.853482,6
2.121000,9.954969,6
2.121000,10.055422,6
2.121000,10.154871,6
2.122000,10.253345,6
2.122000,10.350875,6
2.122000,10.447485,6
2.122000,10.543201,6
2.122000,10.638049,6
2.122000,10.732051,6
2.122000,10.732051,6
2.122000,10.732051,6
2.122000,8.000000,5
2.122000,8.000000,5
2.122000,8.000000,5
2.122000,8.000000,5
2.123000,8.000000,5
2.123000,8.000000,5
2.123000,8.000000,5
2.123000,8.125000,5
2.123000,8.248077,5
2.123000,8.369318,5
2.123000,8.488802,5
2.123000,8.606605,5
2.123000,8.722795,5
2.123000,8.837437,5
2.123000,8.950592,5
2.123000,9.062317,5
2.124000,9.062317,5
2.124000,9.062317,5
2.124000,7.000000,4
2.124000,7.000000,4
2.124000,7.000000,4
2.124000,7.000000,4
2.124000,7.000000,4
2.124000,7.000000,4
2.124000,7.142857,4
2.124000,7.282857,4
2.124000,7.420166,4
2.124000,7.554934,4
2.124000,7.687297,4
2.125000,7.817382,4
2.125000,7.945302,4
2.125000,8.071162,4
2.125000,8.195060,4
2.125000,8.317084,4
2.125000,8.437319,4
2.125000,8.555840,4
2.125000,8.672719,4
2.125000,8.788023,4
2.125000,8.901814,4
2.125000,9.014152,4
2.125000,9.125089,4
2.125000,9.234676,4
2.126000,9.342964,4
2.126000,9.449997,4
2.126000,9.555817,4
2.126000,9.660465,4
2.126000,9.763980,4
2.126000,9.866397,4
2.126000,9.967752,4
2.126000,10.068075,4
2.127000,10.167399,4
2.127000,10.265753,4
2.127000,10.363164,4
2.127000,10.459660,4
2.127000,10.555265,4
2.127000,10.650005,4
2.127000,10.743902,4
2.127000,10.743902,4
2.128000,10.743902,4
2.128000,8.000000,5
2.128000,8.000000,5
2.128000,8.000000,5
2.128000,8.000000,5
2.128000,8.000000,5
2.128000,8.000000,5
2.128000,8.125000,5
2.128000,8.248077,5
2.129000,8.369318,5
2.129000,8.488802,5
2.129000,8.606605,5
2.129000,8.722795,5
2.129000,8.837437,5
2.129000,8.950592,5
2.129000,9.062317,5
2.129000,9.172664,5
2.129000,9.281683,5
